Province,Year,Total_Accidents,Fatal_Accidents,Non_Fatal_Accidents,Killed,Injured,Vehicles_Involved,Year_Start,Fatality_Rate,Fatal_Pct,Injury_Rate,Killed_per_Accident,Vehicles_per_Accident,Severity
Balochistan,2014-15,315,147,168,178,440,389,2014,56.51,46.67,139.68,1.211,1.235,High
Balochistan,2015-16,357,178,179,207,504,470,2015,57.98,49.86,141.18,1.163,1.317,High
Balochistan,2016-17,401,209,192,321,567,537,2016,80.05,52.12,141.4,1.536,1.339,Critical
Balochistan,2017-18,496,259,237,313,624,715,2017,63.1,52.22,125.81,1.208,1.442,High
Balochistan,2018-19,409,226,183,330,542,642,2018,80.68,55.26,132.52,1.46,1.57,Critical
Islamabad,2012-13,201,107,94,109,180,212,2012,54.23,53.23,89.55,1.019,1.055,Medium
Islamabad,2013-14,256,120,136,132,206,256,2013,51.56,46.88,80.47,1.1,1.0,Medium
Islamabad,2014-15,216,107,109,118,182,217,2014,54.63,49.54,84.26,1.103,1.005,Medium
Islamabad,2015-16,244,120,124,140,209,244,2015,57.38,49.18,85.66,1.167,1.0,High
Islamabad,2016-17,226,127,99,129,124,216,2016,57.08,56.19,54.87,1.016,0.956,High
Islamabad,2017-18,259,157,102,167,162,259,2017,64.48,60.62,62.55,1.064,1.0,High
Islamabad,2018-19,238,127,111,136,134,239,2018,57.14,53.36,56.3,1.071,1.004,High
